pickup_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,driver_pay,duration_seconds,speed_mph
2026-03-11 19:40:45,209,18,16.764,2427,94.56,50.37,2427.0,24.866254635352284
2026-03-28 21:57:58,37,106,6.252,2108,44.44,31.95,2108.0,10.677039848197342
2026-03-09 21:18:00,170,265,4.18,1124,46.39,23.98,1124.0,13.387900355871885
2026-03-02 05:26:09,188,63,2.8,950,31.37,17.12,950.0,10.610526315789473
2026-03-03 22:44:00,100,25,6.196,1497,39.84,30.56,1497.0,14.900200400801603
2026-03-19 19:07:39,162,33,7.0,1510,47.79,26.12,1510.0,16.688741721854303
2026-03-01 14:20:48,234,24,5.83,1622,43.29,25.89,1622.0,12.939580764488287
2026-03-07 03:12:15,255,7,7.1,1361,42.39,30.56,1362.0,18.78030859662013
2026-03-12 16:36:20,41,168,1.755,2266,17.97,27.97,2266.0,2.788172992056487
2026-03-15 06:56:26,258,265,10.94,1703,61.0,35.24,1703.0,23.126247798003522
2026-03-04 11:47:05,246,170,1.7,2237,66.19,55.65,2237.0,2.7358068842199375
2026-03-16 18:39:46,138,89,15.865,3044,75.71,54.91,3044.0,18.76281208935611
2026-03-20 14:03:27,237,138,7.438,2368,51.98,38.37,2368.0,11.30777027027027
2026-03-18 13:49:27,138,163,11.66,3356,65.17,53.06,3356.0,12.507747318235996
2026-03-26 07:39:34,256,132,16.5,2924,108.88,61.02,2924.0,20.31463748290014
2026-03-23 22:34:58,261,179,8.876,1714,57.24,42.91,1714.0,18.642707117852975
2026-03-18 21:52:06,161,233,0.41,158,27.29,13.84,158.0,9.341772151898734
2026-03-08 00:35:05,239,230,2.341,790,26.64,19.0,790.0,10.667848101265824
2026-03-17 14:07:22,108,233,17.22,2686,90.61,52.57,2686.0,23.079672375279227
2026-03-10 12:08:01,234,1,15.83,2109,98.26,69.25,2109.0,27.021337126600287
2026-03-24 05:24:23,164,1,15.005,1514,77.06,42.85,1514.0,35.67899603698811
2026-03-25 14:28:04,190,161,9.822,3142,65.3,48.27,3142.0,11.253723742838956
2026-03-13 05:30:17,72,132,9.12,1510,54.88,29.84,1511.0,21.743046357615892
2026-03-16 20:19:25,161,202,5.31,1440,67.3,35.43,1440.0,13.274999999999999
2026-03-14 22:28:39,211,179,9.86,1829,64.18,46.82,1829.0,19.407326407873153
2026-03-30 00:41:29,138,40,12.079,1153,50.44,28.59,1153.0,37.714137033824805
2026-03-14 17:05:26,263,1,28.733,3289,119.55,85.97,3289.0,31.449923989054422
2026-03-10 23:46:57,249,87,2.46,888,29.07,19.88,887.0,9.972972972972972
2026-03-29 22:28:48,141,265,49.68,4839,136.27,128.15,4840.0,36.95970241785493
2026-03-08 22:09:53,222,217,7.23,2457,20.84,37.11,2457.0,10.593406593406595
2026-03-27 20:34:44,144,230,5.243,2091,62.73,37.71,2091.0,9.026685796269728
2026-03-29 19:54:52,211,75,6.83,1860,51.91,33.87,1860.0,13.219354838709677
2026-03-22 10:27:00,50,138,11.4,1742,68.91,35.88,1742.0,23.559127439724456
2026-03-22 22:56:13,215,197,2.25,801,29.77,19.23,800.0,10.112359550561798
2026-03-11 18:28:15,255,255,0.43,642,18.06,9.31,642.0,2.4112149532710276
2026-03-17 09:52:28,238,90,5.53,1755,39.55,27.0,1754.0,11.343589743589744
2026-03-02 12:06:38,223,88,12.59,2655,75.23,46.91,2655.0,17.071186440677966
2026-03-05 09:10:04,50,230,0.81,398,27.45,13.15,399.0,7.326633165829146
2026-03-07 00:53:24,144,114,0.985,679,25.92,14.95,679.0,5.222385861561119
2026-03-16 04:35:52,217,41,10.007,1695,57.19,45.01,1695.0,21.253805309734513
2026-03-15 23:12:48,259,226,15.57,1853,35.79,48.18,1853.0,30.249325418240694
2026-03-06 21:29:25,138,125,10.12,2864,121.86,150.09,2863.0,12.720670391061452
2026-03-12 07:32:10,198,152,14.3,4304,96.07,67.21,4304.0,11.960966542750931
2026-03-12 04:53:55,141,1,18.13,2395,105.26,59.44,2395.0,27.251774530271398
2026-03-12 08:39:20,41,41,0.537,313,10.75,4.24,313.0,6.176357827476038
2026-03-25 10:00:22,125,1,13.28,1595,65.95,38.8,1595.0,29.973667711598747
2026-03-10 09:33:22,138,161,9.49,2942,100.08,56.7,2942.0,11.612508497620667
2026-03-13 16:02:16,138,54,11.092,4414,82.85,64.33,4414.0,9.0464884458541
2026-03-11 08:37:53,164,186,0.53,529,10.97,7.94,529.0,3.6068052930056713
2026-03-02 02:13:00,113,170,2.12,472,105.66,68.2,472.0,16.169491525423727
2026-03-15 19:56:34,51,213,5.41,817,35.13,18.97,818.0,23.83843329253366
2026-03-03 09:12:48,238,161,2.36,966,42.43,20.6,965.0,8.79503105590062
2026-03-10 21:36:14,125,25,3.52,1039,33.23,18.31,1039.0,12.196342637151108
2026-03-23 07:45:51,213,74,6.65,1346,43.01,27.79,1346.0,17.786032689450224
2026-03-18 15:23:08,229,161,0.63,910,19.02,11.27,910.0,2.4923076923076923
2026-03-22 06:44:37,90,132,17.89,2445,78.66,50.7,2445.0,26.341104294478527
2026-03-10 23:28:52,256,148,2.13,490,25.29,14.68,491.0,15.648979591836735
2026-03-05 19:48:18,231,265,2.82,898,27.8,15.02,898.0,11.305122494432071
2026-03-04 18:49:49,138,229,7.803,1554,46.34,27.65,1554.0,18.076447876447876
2026-03-11 15:25:54,237,68,3.88,2557,52.1,34.0,2557.0,5.462651544779038
2026-03-11 10:10:02,138,211,10.903,4458,122.36,78.34,4458.0,8.804576043068641
2026-03-17 08:56:43,246,138,11.76,3400,66.63,54.55,3400.0,12.451764705882352
2026-03-07 22:19:39,64,157,11.03,1450,52.95,42.09,1449.0,27.384827586206892
2026-03-06 13:51:48,48,138,8.0,2605,55.7,39.83,2605.0,11.055662188099808
2026-03-15 04:14:13,79,256,2.732,680,30.26,18.55,680.0,14.463529411764707
